,id,category,title,comment_count,upvote_count,view_count,share_count,username,following,Name,posted_n_days_ago,popularity_score,genre,targeted_audience,post_description,tags,scaled_view_count,scaled_upvote_count,scaled_share_count,scaled_comment_count,scaled_popularity_score,recency_factor,trending_score
0,1291,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Can Moo Deng’s MEME COIN GO HIGHER_ #shorts,0,0,23,0,kinha,False,Sachin Kinha,41,41.21046779224526,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.04893617021276596,0.0,0.0,0.0,0.3677586699229756,0.023809523809523808,0.05383767043707973
1,1306,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Culture of Solana Token $COST.   #  2024  Trump.  Trump Supporters,0,0,28,0,kinha,False,Sachin Kinha,38,41.21046779224526,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.059574468085106386,0.0,0.0,0.0,0.3677586699229756,0.02564102564102564,0.05721230998193204
2,1276,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Daily realisation #trading #crypto #bitcoin #ethereum #solana #memecoins,0,0,51,0,kinha,False,Sachin Kinha,41,43.00222726147332,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.10851063829787234,0.0,0.0,0.0,0.38374817731093114,0.023809523809523808,0.0733089616014072
3,1265,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",#crypto #cryptotrading #memecoin #solmemecoins #solanamemecoin,0,0,33,0,kinha,False,Sachin Kinha,41,40.23594781085251,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.07021276595744681,0.0,0.0,0.0,0.35906213743086446,0.023809523809523808,0.05935099591127287
4,1314,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",😂#SOLANA #memecoin #crypto #dexscreener #bullrun,0,0,51,0,kinha,False,Sachin Kinha,38,41.84538572328661,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.10851063829787234,0.0,0.0,0.0,0.3734246229280991,0.02564102564102564,0.07245975634627418
5,1283,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Pump fun and the trenches in shambles #pumpfun #solana #memecoins,0,0,31,0,kinha,False,Sachin Kinha,41,61.15864067249581,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06595744680851064,0.0,0.0,0.0,0.545774448894914,0.023809523809523808,0.07674563131299698
6,1311,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Love to see this #solana #crypto #shitcoins #meme #bitcoin,0,3,33,3,kinha,False,Sachin Kinha,38,36.841361487904734,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.07021276595744681,0.05,0.375,0.0,0.32876914106500155,0.02564102564102564,0.14150484645783676
7,1300,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Moodeng made people millionaires⁉️🤯#crypto #shorts  #moodeng #hippo #memecoin #viralvideo,3,3,57,3,kinha,False,Sachin Kinha,41,49.698132995760005,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.12127659574468086,0.05,0.375,0.16666666666666666,0.44350186414566956,0.023809523809523808,0.18478078418559027
8,1292,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Day 22 turning $100 into 100000 by trading meme coins #trading #memecoin #crypto #solana,3,3,70,3,kinha,False,Sachin Kinha,41,67.70125502755525,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.14893617021276595,0.05,0.375,0.16666666666666666,0.6041601766465508,0.023809523809523808,0.2091444877761039
10,1264,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",#crypto #cryptotrading #memecoin #solmemecoins #solanamemecoin (1),0,0,30,0,kinha,False,Sachin Kinha,41,36.97229283205096,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06382978723404255,0.0,0.0,0.0,0.3299375611183042,0.023809523809523808,0.054523644662995564
11,1287,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Trading memecoins #memecoin #solana #bitcoin #funny #usa #fyp #animation #animationmeme #memecoins #2d #foryou #foryoupage #repost #viraltiktok,0,0,27,0,kinha,False,Sachin Kinha,41,38.91820298110626,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.0574468085106383,0.0,0.0,0.0,0.3473026959140043,0.023809523809523808,0.0543452645255443
12,1293,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Solana Coins vs Base Coins,0,0,17,0,kinha,False,Sachin Kinha,41,36.97229283205096,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03617021276595745,0.0,0.0,0.0,0.3299375611183042,0.023809523809523808,0.04622577232257003
13,1253,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Replying to @Thomas darya You are right for some! #pepe #crypto #memecoins,0,3,63,0,kinha,False,Sachin Kinha,63,34.04342991533304,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.13404255319148936,0.05,0.0,0.0,0.3038006403711538,0.015625,0.08215532999456218
14,1290,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Solana's MYRO Takes the Meme Coin Throne in SHOCKING Upset,0,0,17,0,kinha,False,Sachin Kinha,41,35.407634073550206,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03617021276595745,0.0,0.0,0.0,0.3159746809391607,0.023809523809523808,0.044829484304655685
15,1294,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",100x on solana memecoin MOODENG because of this memecoin signal server  #memecoin #crypto #moodeng,1,1,66,0,kinha,False,Sachin Kinha,41,37.62694885378915,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.14042553191489363,0.016666666666666666,0.0,0.05555555555555555,0.3357796551470647,0.023809523809523808,0.08697546635901583
16,1262,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Solana price prediction in 2025! #solana #sol #altcoins #altcoin #crypto #cryptocurrency #eth #bnb #dot #xrp #avax #ada #btc,0,0,34,0,kinha,False,Sachin Kinha,45,39.418708323017206,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.0723404255319149,0.0,0.0,0.0,0.35176916253502016,0.021739130434782608,0.059052956956554756
21,1052,"['InstaRama', 169, 'Embrace your journey towards growth & self-discovery']",Shree ram angry 💢😡#balaji#hanumanji#power#shreeram#shorts,2,5,41,0,kinha,False,Sachin Kinha,203,0.0,Unspecified,General Audience,Description not available.,"['sachin kinha', 'instarama', '169', 'embrace your journey towards growth & self-discovery', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.08723404255319149,0.08333333333333333,0.0,0.1111111111111111,0.0,0.004901960784313725,0.054438186622166596
22,150,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,121,1,kinha,False,Sachin Kinha,372,43.318658632277646,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.2574468085106383,0.016666666666666666,0.125,0.0,0.38657198364663115,0.002680965147453083,0.14449267076593322
